GENE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CXCL13,79.85535372124507,9.676480636441598,2.4071870232898966,4.019829179378333,5.8240354131323385e-5,0.0018329107941636444
COL6A3,394.68890680484077,6.992350480724563,1.3894187524211157,5.032572410974102,4.83941720136184e-7,3.5799214565331845e-5
IGKV2-24,3.9449641080717988,5.944029258591328,1.844014687104659,3.223417524902809,0.0012667077005634737,0.019652456444093417
IGHV3-74,6.119178312474525,5.903129656764139,1.8750015016264105,3.148333295543314,0.0016420435209502202,0.023612190951058726
FCRL5,30.465436848183824,5.764846834811025,1.2147405857906282,4.74574316709679,2.077421735303759e-6,1.2168603805446632e-4
IGLV2-8,17.12326267935463,5.15302939610055,1.3362170867037273,3.8564312995071774,1.150544138799059e-4,0.003243901559116954
IGFBP4,106.84272509470901,5.099884399412436,1.2715622076270958,4.010723477642119,6.053297341123986e-5,0.0018884971770102245
SPINK1,27.45107896265272,5.088930932761617,1.2543036083656487,4.057176347752414,4.9669578292187176e-5,0.0016163449389369118
MMP7,5.986194222796125,4.993058409470538,1.6272037609289487,3.068489963801502,0.002151435549228783,0.02843818375552028
IGLV2-23,17.957428359309706,4.893410236533432,1.1196877726734624,4.370334620024926,1.240562818611717e-5,5.190471431456778e-4
IGHV3-15,19.765269051122477,4.857537504005525,1.3470498923377527,3.6060561168788317,3.1088593453809643e-4,0.006960255922864621
IGKV2-30,10.294386573044818,4.730879557961082,1.1783391949895348,4.0148707418691085,5.9478382086377154e-5,0.0018636992605275077
FCRL2,22.196414466616293,4.607492056972262,1.028020625211208,4.481906241935222,7.397924612558289e-6,3.413749714303022e-4
JCHAIN,124.15345710147578,4.4970439854451225,0.7973343842905684,5.640097898758482,1.6995350794032375e-8,2.2376172407812717e-6
SIGLEC17P,11.067140243380654,4.462314976011981,1.0719654468208217,4.1627414290694515,3.144493826477718e-5,0.0011373180807427476
CD180,27.89487922487537,4.303513803583065,1.1622291264528675,3.7028101478728406,2.1322444792421408e-4,0.005125601427404349
IGHG2,157.6853341915978,4.26753296637536,0.619900953423012,6.884217458951468,5.810605598412872e-12,1.1912571563260447e-8
ENPP2,18.078650248162397,4.257831109771412,0.8743051525479076,4.869959987497733,1.116208491753173e-6,7.215634263580985e-5
IGKV3-15,8.347986353716356,4.233891854030991,1.120901439444768,3.7772204629590127,1.585883431607145e-4,0.0041155539108488496
MYBPC2,10.885685168763422,4.19346995701276,1.4485617244120297,2.894919758227691,0.003792554662773805,0.04120204771644814
ADD2,9.689124766352604,4.191268640397344,1.3708779017484451,3.057361005711534,0.002232951724050876,0.029051419999387353
TMEM132C,15.812088676234987,4.189416868871729,1.213880695027783,3.451259160831982,5.579774991485405e-4,0.01085031855051586
DTX1,178.64573108136048,4.1366951749815435,0.8145782013847824,5.0783278609090745,3.80771202577273e-7,2.9860369006483307e-5
IGKV1-16,10.088548066886581,4.127378597184215,1.3472168192418377,3.0636335133545516,0.0021866660673758556,0.028658305692156077
FCGR2B,19.337882337942847,4.11752968783224,0.9353117410304708,4.402307281309001,1.0710571591707279e-5,4.6493822729283643e-4
SLAMF8,13.250554083113842,4.109519636740794,1.3374656999888848,3.0726168430150747,0.0021219074511083236,0.02822195906474101
PNOC,8.423455693885582,4.069951875387073,1.2255134519381023,3.3210177080884753,8.968984654754381e-4,0.015054257167295922
IGLV3-10,5.120766173278536,4.024873875696159,1.3922014363829864,2.8910140231955195,0.0038400098523773307,0.04152824520833992
CD24,20.682017501536155,3.991194097657945,1.2135034908835247,3.2889844385631277,0.0010054958277811435,0.016341869336905086
CD1C,16.2302222883734,3.9411799196111357,0.85712697158261,4.598128457367397,4.2630313188970765e-6,2.1391175684437743e-4
IGLV2-11,14.278939008408523,3.932654410328284,1.093448581262477,3.5965608970727354,3.2245212125156335e-4,0.007152257174777721
IGHA1,155.4716785121216,3.88044600515134,0.7717177016090057,5.028323177064281,4.9478747446157e-7,3.641382074870764e-5
TIMP1,2331.1992655250538,3.8591147286489975,1.0996612350430583,3.509366890156758,4.491748286533311e-4,0.009182489980062615
LINC01237,8.08657462194734,3.779799768222538,1.2407493433700054,3.046384661350056,0.0023161131999218138,0.0296101905094051
IGHV3-7,14.829821764527514,3.760280604186253,1.134595347225192,3.314204146335108,9.190438068313219e-4,0.01530358425506603
IL22,8.20560133631868,3.7394248763947178,1.30481870001979,2.8658578209662404,0.004158809809165452,0.04365989727237264
GPR161,14.160665592796304,3.7172793981346732,1.2692707960396896,2.928673226968688,0.003404120894618833,0.0380471487217094
BCAT1,1260.1501138013584,3.659609197664171,1.0629809768359009,3.4427795768814855,5.757683913011413e-4,0.011076209361344073
IGLL5,53.45082163540858,3.652328092451003,0.7270176178705965,5.0237133223105594,5.068187230429183e-7,3.692058626593361e-5
IGHM,2306.6147380290045,3.636768118995337,0.8883418412650375,4.093883626843942,4.2420728310291935e-5,0.001446032950073633
IGKV3-20,40.01782308863435,3.624681797300072,0.609296645697283,5.948960695741174,2.6985042245794203e-9,5.612497699556415e-7
MET,22.038783218389927,3.6071848621631486,1.1351399360566896,3.177744652957927,0.001484254066191188,0.021891603395590688
NAPSB,397.03736927502445,3.547192050296695,0.8908208791140901,3.9819363616896046,6.835608427880267e-5,0.0020790726568626974
SAXO2,29.986894088101607,3.533748659856678,1.0134563295410228,3.486828743234603,4.88784244416342e-4,0.009838068291190638
FCRLA,76.28172129069951,3.5161037524921452,0.8272734665108661,4.25023150726902,2.1354967993464315e-5,8.216223744616793e-4
IGKV4-1,53.97999050507559,3.4923358692804243,0.7148412779222661,4.8854703514479905,1.0318223272107816e-6,6.792514778808223e-5
IGHA2,53.376452577779396,3.4671025860389975,0.7602792215048267,4.560301647040325,5.10801917913791e-6,2.4849214657562084e-4
IGKC,847.2224943616505,3.4472421633510018,0.8124371906178981,4.243087592690342,2.204653334072785e-5,8.459620320127952e-4
TGFBI,34.10568842407451,3.3833748133482993,1.1749584277747467,2.8795698072110274,0.003982181288864789,0.04261115743142172
IGHV4-39,9.937592468796057,3.370829013773176,0.9949249427540344,3.388023426613914,7.039825122974958e-4,0.01259399785926178
IGKV1D-39,13.810503405127655,3.3071458697750145,0.7824291660235648,4.226767116290514,2.3707280426114826e-5,8.95324161566247e-4
IGHG3,123.18257085546084,3.259891891998156,0.7430501909035007,4.387175902659199,1.1483191890381341e-5,4.90462163151377e-4
IGKV3-11,30.065839040129926,3.2477515553895224,0.8570703533346644,3.7893640151631254,1.510334610623678e-4,0.003940874908556437
IGHG1,102.28575416904869,3.2365658714608587,0.6550808668078583,4.9407119570325895,7.783782599787999e-7,5.396379907708096e-5
KIFC3,53.88284218632686,3.2351274572780606,0.6107167541317685,5.297263314606968,1.1755112508355589e-7,1.1172027788570269e-5
BLNK,35.33737701217755,3.1954932072172775,0.8700815072202366,3.6726366216267925,2.4006073206961514e-4,0.005647723878575486
TNS3,54.27969373763688,3.177437686204606,0.9516399436500683,3.3389074380562103,8.410858522124554e-4,0.014233989463562437
IGLC2,179.36047737078138,3.175250801622656,0.6013546272188423,5.280163580527557,1.2906860319722934e-7,1.187348413130409e-5
SLC22A17,7.582147164070645,3.114491661702492,1.0450546857455496,2.980218838481731,0.0028804252544856954,0.03419105279332028
ELFN2,9.109602712204696,3.0585554858740687,1.048902486660265,2.9159578938673274,0.0035459835250410293,0.03926574812335171
WNT5B,43.053417788172645,3.0580586872134172,1.0368554665681466,2.949358696381458,0.0031843415259751877,0.036471257174197864
