ensGeneID	geneName	geneName	il21_vs_il2 logFC	il21_vs_il2 padj	il21_vs_il15 logFC	il21_vs_il15 padj	il21_vs_il7 logFC	il21_vs_il7 padj
ENSG00000198554	 WDHD1	 WD repeat and HMG-box DNA binding protein 1	-1.44756103724188	4.70301142178888e-07	-1.01394833016936	0.00294523723056878	-1.19734863129974	0.000129479981600145
ENSG00000131401	 NAPSB	 napsin B aspartic peptidase, pseudogene	1.72383372204072	0.000423649164884635	1.82428983723451	0.000675307892750276	1.65806677978464	0.00129910068015652
ENSG00000175305	 CCNE2	 cyclin E2	-1.47527392942638	1.24642758259093e-05	-1.06748700132062	0.0090441909771333	-1.15637491356352	0.0019887980433394
ENSG00000101187	 SLCO4A1	 solute carrier organic anion transporter family member 4A1	-1.56543307209804	3.50444990580921e-05	-1.26451540121298	0.00390847087230704	-1.20464891099673	0.00445761294987238
ENSG00000118193	 KIF14	 kinesin family member 14	-2.28918333044813	1.15033307492753e-07	-1.7207869836128	0.000657701507710768	-1.92415611592005	3.99422027350253e-05
ENSG00000137804	 NUSAP1	 nucleolar and spindle associated protein 1	-2.37053189493833	1.51424688905656e-09	-1.78151254596195	7.3765163770114e-05	-1.953638524007	3.34980197502414e-06
ENSG00000138286	 FAM149B1	 family with sequence similarity 149 member B1	-1.10105008219201	7.18325686683386e-06	-0.805117886578867	0.00613050522119857	-0.869007585623625	0.00132013834145356
ENSG00000116133	 DHCR24	 24-dehydrocholesterol reductase	-1.71672076881279	5.65994363170376e-07	-1.23354394436669	0.00233478215841327	-1.35344696232903	0.000320204387245873
ENSG00000182185	 RAD51B	 RAD51 paralog B	-0.770865913443161	0.00056680123966653	-0.72966865576407	0.00354539042372484	-0.736197761203059	0.00185359372388257
ENSG00000142173	 COL6A2	 collagen type VI alpha 2 chain	1.65072479599933	2.22198126086894e-05	1.27647998918423	0.00536338324188999	1.17142758968318	0.00904426634633982
ENSG00000251503	 APITD1-CORT	 APITD1-CORT readthrough	-1.37936014471626	1.15221396665049e-05	-1.19992971270541	0.000826131956250073	-1.26673348410743	0.000166237755954751
ENSG00000152684	 PELO	 pelota homolog (Drosophila)	-0.824512986006773	0.000253047133052485	-0.684777641358956	0.0097189593341641	-0.708358371662155	0.00396658919371902
ENSG00000242887	 IGHJ3		1.84498849811318	5.10791170642431e-05	1.87633002415897	0.000204198849687302	1.80119937649363	0.000186512822007153
ENSG00000214338	 SOGA3		-2.00121583302575	9.74037519312811e-06	-1.7187492442578	0.000868641068276312	-1.49158178887523	0.00329324148841038
ENSG00000211676	 IGLJ2		1.6531390625079	0.000850728902201996	1.75375738893356	0.00109487145972604	1.57409763663959	0.00262688047368557
ENSG00000159712	 ANKRD18CP		-1.69651884180284	0.000146039766900224	-1.80414942841966	0.00023407762561544	-1.55748866492138	0.0010954568114667
ENSG00000076248	 UNG	 uracil DNA glycosylase	-1.1401454110764	2.76708014936145e-06	-0.877625065678609	0.0019711458453742	-0.836292362145036	0.00219007507620634
ENSG00000091651	 ORC6	 origin recognition complex subunit 6	-2.0828374144779	3.48256310699193e-07	-1.40179068919619	0.00411628369279189	-1.68659036110674	0.000153349724181441
ENSG00000165304	 MELK	 maternal embryonic leucine zipper kinase	-2.23508250356673	4.9364851738575e-08	-1.58140545812507	0.000896766590457281	-1.72400398431032	0.000112673353762392
ENSG00000175279	 CENPS	 centromere protein S	-1.43917008929786	9.60444441034104e-06	-1.25415485930265	0.000739210331652381	-1.37285527685859	7.84653878833437e-05
ENSG00000075218	 GTSE1	 G2 and S-phase expressed 1	-1.92150319540637	2.64611585232923e-05	-1.46950096974311	0.00682071640272246	-1.63862631014132	0.000918617795149905
ENSG00000188158	 NHS	 NHS actin remodeling regulator	-1.39283827294022	0.000540558670254568	-1.22618827729636	0.00837703533103082	-1.64472089778007	5.79179831836844e-05
