ensGeneID	geneName	geneName	il21_vs_il2 logFC	il21_vs_il2 padj	il21_vs_il15 logFC	il21_vs_il15 padj	il21_vs_il7 logFC	il21_vs_il7 padj
ENSG00000160957	 RECQL4	 RecQ like helicase 4	-1.58132546143764	0.00106397358182946	-1.34404032795475	0.0250467696923799	-1.30166343992308	0.0177170849587212
ENSG00000274021	 RP11-823E8.3		-1.90083592682615	0.000380222802092327	-2.02660685496205	0.000543857051967343	-1.42787382995582	0.0202975071180232
ENSG00000124635	 HIST1H2BJ	 histone cluster 1 H2B family member j	-1.79266987546713	0.000584468379455659	-1.37684280726875	0.0429263310733732	-1.50380697713766	0.00953234485563541
ENSG00000116679	 IVNS1ABP	 influenza virus NS1A binding protein	-1.5383743797718	0.00148630409458065	-1.51955655022232	0.00573070379475252	-1.27077609121857	0.021539553690812
ENSG00000198901	 PRC1	 protein regulator of cytokinesis 1	-1.62395125721273	0.00179006303203822	-1.31501310868296	0.0489846994747602	-1.3028350051365	0.0306785323668556
ENSG00000106003	 LFNG	 LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-0.964266429081094	0.0127164776105086	-0.933725332981853	0.0489246932019052	-0.958353200425729	0.0227590774605993
ENSG00000120949	 TNFRSF8	 TNF receptor superfamily member 8	1.51403758562826	0.00382275668074676	1.60610223467196	0.00603222609092054	1.56604816165197	0.00494905972295054
ENSG00000203760	 CENPW	 centromere protein W	-1.9181631996549	0.000380222802092327	-1.49617070792545	0.028397796792283	-1.72922420970916	0.00350694178967853
ENSG00000234332	 BCAS2P2		1.76153604415248	0.0011363450423893	1.44362823208904	0.0379467472117114	1.80694991375055	0.00181827003727909
ENSG00000122966	 CIT	 citron rho-interacting serine/threonine kinase	-1.85603480669514	0.000387821825391295	-1.55882256883816	0.0120871025554623	-1.64110294243529	0.00450176352808924
ENSG00000167513	 CDT1	 chromatin licensing and DNA replication factor 1	-1.66888432586212	0.00153469531977905	-1.43091131968844	0.0308966882780523	-1.40259092848346	0.0191635590525918
ENSG00000276903	 HIST1H2AL	 histone cluster 1 H2A family member l	-1.74885806290286	0.000713647722447231	-1.39433637832329	0.035277191550985	-1.55742719393256	0.00597944657071869
ENSG00000277775	 HIST1H3F	 histone cluster 1 H3 family member f	-1.70202560635175	0.00154494884981975	-1.39912620549582	0.0429263310733732	-1.40883999518694	0.0217030478890599
ENSG00000139318	 DUSP6	 dual specificity phosphatase 6	-1.801384445685	0.000891853590962916	-1.9551814891486	0.000886578959482581	-1.34137890767399	0.0346829959496317
ENSG00000180611	 MB21D2	 Mab-21 domain containing 2	-1.47327620362614	0.00598575593972013	-1.63932806443233	0.00557835224745308	-1.61132322094572	0.00450176352808924
ENSG00000136960	 ENPP2	 ectonucleotide pyrophosphatase/phosphodiesterase 2	2.06936934027866	0.000163548330305411	1.97491936073712	0.00110638372089294	2.05686638531253	0.000440078100995622
ENSG00000211897	 IGHG3		2.08060421327512	5.4178217866583e-05	1.78382182372629	0.00176948021662168	1.85846904708112	0.000811646337136049
ENSG00000065989	 PDE4A	 phosphodiesterase 4A	-1.94965594136663	2.62463806464505e-06	-1.83312991190987	7.34825582587785e-05	-2.15296000054999	9.8670915716246e-08
ENSG00000132464	 ENAM	 enamelin	2.49654164938768	2.62463806464505e-06	2.11722077497388	0.000543857051967343	2.17009891540727	0.000174821358418283
ENSG00000111665	 CDCA3	 cell division cycle associated 3	-1.80156723531842	0.000413492918917739	-1.3876629285734	0.0354001385985812	-1.47913462785422	0.00953234485563541
ENSG00000143228	 NUF2	 NUF2, NDC80 kinetochore complex component	-1.7315042353956	0.00124018067605744	-1.37392304509495	0.0466139260156554	-1.38316442610394	0.0245593355680423
ENSG00000198826	 ARHGAP11A	 Rho GTPase activating protein 11A	-2.1477267303773	2.7479060344734e-05	-1.83901715749372	0.00110638372089294	-1.80981590350555	0.00103188458619938
ENSG00000211668	 IGLV2-11		2.12769225004304	0.000109352457862532	1.7085890972661	0.0082644638818078	2.47529205204679	6.24191817110623e-06
ENSG00000269404	 SPIB	 Spi-B transcription factor	1.4864933925963	0.00136671516676686	1.24290275892431	0.0360535338005949	1.51102703973624	0.00259418956441658
ENSG00000211674	 IGLJ1		2.01661504696237	0.000209584809747343	1.78091057904063	0.00412684638203003	1.77396396381892	0.00323709220159582
ENSG00000115170	 ACVR1	 activin A receptor type 1	1.23598331563759	0.0107963633116834	1.20444168860261	0.0429263310733732	1.40745911588046	0.00519945100117371
ENSG00000105339	 DENND3	 DENN domain containing 3	-1.07149314421872	0.00264190162863399	-0.89774058095103	0.0478362633754601	-0.949061991788447	0.0175800841630508
ENSG00000149557	 FEZ1	 fasciculation and elongation protein zeta 1	-1.01082556426039	0.000174874219576963	-1.03198123245625	0.000543857051967343	-0.830233242019776	0.00537158877252058
ENSG00000158481	 CD1C	 CD1c molecule	2.26297585771016	1.85912180184869e-05	1.89797991328962	0.00110638372089294	1.92216204271929	0.000684432697911896
ENSG00000276045	 ORAI1		-0.624510640441845	0.0147321987809685	-0.629421002499702	0.0429263310733732	-0.609243716456841	0.0295129709852679
ENSG00000183943	 PRKX	 protein kinase, X-linked	-0.72532768326604	0.0150265196757918	-0.825260999445475	0.0123714676231747	-0.833085664233506	0.00647734527151252
ENSG00000127588	 GNG13	 G protein subunit gamma 13	-1.96000526883484	0.000387821825391295	-1.50584284121418	0.0348780023679565	-1.53101049781644	0.0152590344653714
ENSG00000187951	 ARHGAP11B ARHGAP11B	 Rho GTPase activating protein 11B OTU deubiquitinase 7A pseudogene	-1.52407041038199	0.0011363450423893	-1.39795827135638	0.0108066126887207	-1.38007441559801	0.00729512706924041
ENSG00000224650	 IGHV3-74		1.87679191570759	0.000387821825391295	1.8397219379332	0.00152977193581043	1.58886747262896	0.00660892816674918
ENSG00000240671	 IGKV1-8		2.19117662345135	4.51551126582969e-05	1.88161675692017	0.00152977193581043	1.86177828367643	0.00138343274486988
ENSG00000137310	 TCF19	 transcription factor 19	-1.63940350581419	0.0017235022753512	-1.36152441460122	0.0429263310733732	-1.41100503822459	0.0171960152238636
ENSG00000275126	 HIST1H4L	 histone cluster 1 H4 family member l	-1.77943582992934	0.000163548330305411	-1.46134292393463	0.0083881787567132	-1.39585625165794	0.00812736292522286
ENSG00000241351	 IGKV3-11		2.17451515795562	5.2243837383653e-05	1.87234914222251	0.00161756302728922	1.85536842129193	0.00142028402477049
ENSG00000134690	 CDCA8	 cell division cycle associated 8	-1.81610574442929	0.000354405356000129	-1.41979209911765	0.0251819233212427	-1.5837243639971	0.00450176352808924
ENSG00000013573	 DDX11	 DEAD/H-box helicase 11	-1.24672675331738	0.0060741654841647	-1.15470971002035	0.0429263310733732	-1.10311916980858	0.0323688062094191
ENSG00000211949	 IGHV3-23		2.27892184255771	3.06018027825407e-05	1.96715819997721	0.00110638372089294	1.94486898836839	0.00093513389305178
