ensGeneID	geneName	geneName	il21_vs_il2 logFC	il21_vs_il2 qval	il21_vs_il15 logFC	il21_vs_il15 qval	il21_vs_il7 logFC	il21_vs_il7 qval
ENSG00000142945	 KIF2C	 kinesin family member 2C	-4.09980344491082	4.69751999637143e-09	-3.02635315786116	5.87155930856309e-05	-3.29847914803451	2.62409788835148e-06
ENSG00000139618	 BRCA2	 BRCA2, DNA repair associated	-1.67692776242528	4.3286625772176e-06	-1.14372941096813	0.0148348026267027	-1.53583620698839	6.53403803370389e-05
ENSG00000140525	 FANCI	 Fanconi anemia complementation group I	-1.92573211730932	4.77112027635434e-07	-1.24864427914381	0.0118715837027997	-1.46710890225502	0.000568108720456589
ENSG00000100206	 DMC1	 DNA meiotic recombinase 1	-3.3275517267255	1.75749374530109e-05	-2.43717300946518	0.00894823153793783	-2.69949217778073	0.00115980032901622
ENSG00000120949	 TNFRSF8	 TNF receptor superfamily member 8	3.87814190052698	0.0190234741016082	4.77239063823884	0.00247296245968271	4.00577135397637	0.0366322327559326
ENSG00000092853	 CLSPN	 claspin	-3.29689590261632	3.03790660634701e-09	-2.33513926018348	0.000117566612875619	-2.7734559761679	9.10787165428628e-07
ENSG00000138821	 SLC39A8	 solute carrier family 39 member 8	-1.49265064030993	1.91536963222568e-06	-1.03827410825942	0.00930618452811034	-1.07000163546095	0.00378127737498316
ENSG00000136492	 BRIP1	 BRCA1 interacting protein C-terminal helicase 1	-2.98057617526551	4.76031641230029e-11	-2.16721949943388	1.12299548351082e-05	-2.44759586688084	1.69075433833893e-07
ENSG00000172819	 RARG	 retinoic acid receptor gamma	-0.966257148275477	0.000317025770781249	-0.723671475280865	0.0487846200402082	-1.22001776546539	3.65458275272294e-06
ENSG00000156802	 ATAD2	 ATPase family, AAA domain containing 2	-2.10282273542655	9.14736964459135e-08	-1.46341546506778	0.00191837988717412	-1.72961590829698	4.22150950862103e-05
ENSG00000154146	 NRGN	 neurogranin	-3.52477989342077	0.00400564432846541	-3.45330055031933	0.0120907205219424	-2.90972735192377	0.0410500382106137
ENSG00000149554	 CHEK1	 checkpoint kinase 1	-2.82052993906045	8.6016384499905e-09	-2.04610434589904	0.000202591634494024	-2.33659467107221	5.37345883682968e-06
ENSG00000135824	 RGS8	 regulator of G-protein signaling 8	-8.71415190751037	0.000965512637441769	-7.30209305800036	0.0213245019116473	-7.84098463836638	0.00569388766677292
ENSG00000104147	 OIP5	 Opa interacting protein 5	-2.73019824301653	6.23697382347115e-05	-1.88791918532713	0.0387177561220192	-2.00603107433474	0.0126677272189718
ENSG00000013573	 DDX11	 DEAD/H-box helicase 11	-1.67282162544206	8.63043722801921e-08	-1.46588970275883	3.45459610121072e-05	-1.43282736871411	1.93313041185429e-05
ENSG00000240671	 IGKV1-8		3.21055097493856	1.10765285871628e-05	2.88124027686361	0.000341539782910691	2.98498316421565	0.000109858885068492
ENSG00000164109	 MAD2L1	 MAD2 mitotic arrest deficient-like 1 (yeast)	-2.6066412298889	7.89305162653343e-09	-1.73805141789413	0.00102178372312674	-1.97702455366576	4.22150950862103e-05
ENSG00000273983	 HIST1H3G	 histone cluster 1 H3 family member g	-4.05008277113239	8.59812211403172e-07	-2.97900231154879	0.000968326325570716	-3.30323637389792	7.33893569813088e-05
ENSG00000145386	 CCNA2	 cyclin A2	-2.21322290605999	5.40206424360866e-07	-1.46464533764634	0.0076150008521188	-1.61999885578773	0.0010214721952843
ENSG00000129195	 FAM64A	 family with sequence similarity 64 member A	-3.63054397100825	0.00814117353439981	-3.39230625245408	0.0287578749438113	-2.90769023733934	0.0484225971157278
ENSG00000152684	 PELO	 pelota homolog (Drosophila)	-0.899189173201036	0.00193589357226099	-0.742420998582111	0.0462820487170258	-0.767343612305917	0.023232926341689
ENSG00000169679	 BUB1	 BUB1 mitotic checkpoint serine/threonine kinase	-3.50576477646069	7.89305162653343e-09	-2.38098835555163	0.000383456569453885	-2.73276668185278	1.27495805633936e-05
ENSG00000135476	 ESPL1	 extra spindle pole bodies like 1, separase	-2.58580273435574	1.48672043960389e-06	-1.69523210817159	0.0204106567403659	-2.97486132788057	1.69024408156847e-07
ENSG00000138160	 KIF11	 kinesin family member 11	-3.72239570870441	3.43677796381002e-09	-2.68799527783584	8.75894751741579e-05	-3.20860699296078	4.45983099233109e-07
ENSG00000144283	 PKP4	 plakophilin 4	-1.37477160676614	0.00110670969068603	-1.11667074481284	0.037277752880628	-1.16357009699408	0.0180715653980089
ENSG00000107282	 APBA1	 amyloid beta precursor protein binding family A member 1	-8.30507485388146	0.000453043424589052	-7.4431734068119	0.00618683821691302	-7.10674806930999	0.00860759480127361
ENSG00000265334	 CTD-2349P21.11		-2.05533198839762	0.0021324335489791	-1.79750000986696	0.0283071353752753	-1.7031790915702	0.0338315342072206
ENSG00000163568	 AIM2	 absent in melanoma 2	2.23064185146708	0.00197069974111911	2.10911066054414	0.0109709567863372	2.18179634381551	0.00299749799962564
ENSG00000144130	 NT5DC4		-4.15391959281761	2.4145638575863e-05	-2.6619724887735	0.0392048243413349	-3.5706002607359	0.000385995896908582
ENSG00000093009	 CDC45	 cell division cycle 45	-3.6418437788509	8.62736476304315e-05	-2.53435338039025	0.0191668864671263	-3.05848659869046	0.00171510230195191
ENSG00000161800	 RACGAP1	 Rac GTPase activating protein 1	-2.24538814122354	1.49521753284432e-06	-1.48994653016834	0.0133166689075411	-1.79768245682369	0.000454505778402316
ENSG00000111206	 FOXM1	 forkhead box M1	-2.78861926789244	1.02537136722305e-06	-2.12342576824102	0.00134231351534785	-2.29834474086406	0.000147652712645969
ENSG00000105011	 ASF1B	 anti-silencing function 1B histone chaperone	-2.51197159422116	8.6016384499905e-09	-1.73332813596322	0.000605395864769544	-2.26794240185173	6.99337594259626e-07
ENSG00000196890	 HIST3H2BB	 histone cluster 3 H2B family member b	-2.07734846344422	3.22633485171686e-07	-1.53010019916414	0.00149738208277542	-1.6085930450773	0.000314389526358631
ENSG00000211668	 IGLV2-11		3.62900536008568	2.65442394730557e-05	2.96545030737535	0.00234232853246318	5.18911468636741	6.00687852306737e-08
ENSG00000137310	 TCF19	 transcription factor 19	-2.70522920462996	4.80328747487299e-11	-2.00671671754384	1.02372390606221e-05	-2.29542546901096	9.86110459397848e-08
ENSG00000197275	 RAD54B	 RAD54 homolog B (S. cerevisiae)	-2.15477402380455	4.31144588289635e-08	-1.74450030493907	0.000113351310411051	-1.74604600688758	3.92771604735523e-05
ENSG00000072110	 ACTN1	 actinin alpha 1	-2.65707515492794	5.27562172325166e-09	-1.93435492403773	0.000271781025868992	-2.42930652089498	3.95845035871161e-07
ENSG00000109674	 NEIL3	 nei like DNA glycosylase 3	-3.65730913256402	1.61790655740889e-05	-2.63529027878185	0.00742191845534267	-2.61051100460915	0.00609951577277324
ENSG00000211938	 IGHV3-7		3.43165972319999	0.00480600873862122	3.53342475172821	0.00872507184306793	3.65801245883536	0.00279759443414584
ENSG00000137563	 GGH	 gamma-glutamyl hydrolase	-2.81929929903418	3.43750149004559e-06	-2.27833712393482	0.00106111059611575	-2.06431791919964	0.00264642441005278
ENSG00000227630	 LINC01132	 long intergenic non-protein coding RNA 1132	-3.02335797074965	2.06804760029055e-05	-2.20416407853484	0.00888026892020679	-2.66313472976505	0.000433479857320695
ENSG00000164611	 PTTG1	 pituitary tumor-transforming 1	-2.5130090986578	1.05629177121851e-05	-1.66934071904834	0.0220705458693954	-1.7417005723532	0.00978946812015979
ENSG00000186193	 SAPCD2	 suppressor APC domain containing 2	-2.90999423404656	7.1987617761929e-05	-2.14659626914154	0.0144040297491991	-2.02379392635773	0.0224022563862998
ENSG00000094804	 CDC6	 cell division cycle 6	-3.26474447389149	5.64317494945169e-09	-2.22054352841197	0.00041368963574038	-2.61055309001396	6.87279114983236e-06
ENSG00000167900	 TK1	 thymidine kinase 1	-2.47528830264056	9.38645937978866e-06	-1.69108988534659	0.0138425765376775	-2.03604479848598	0.000612514685957051
ENSG00000234814	 SVILP1		-2.44948860910052	1.55418539387947e-05	-1.70456598198522	0.018984679938958	-2.41759410948121	4.95005835504031e-05
ENSG00000211899	 IGHM		3.50316750543467	6.29566666653996e-06	3.1537794336831	0.000293848014222327	3.26021197187168	8.23281382406706e-05
ENSG00000167670	 CHAF1A	 chromatin assembly factor 1 subunit A	-2.31523262110303	7.60521086197976e-09	-1.73184951490018	0.000185933284418241	-1.91121287962057	6.69940462589325e-06
ENSG00000177084	 POLE	 DNA polymerase epsilon, catalytic subunit	-1.0233013641032	0.000980836159973296	-0.822281333489546	0.0436054207930299	-1.00530220501529	0.00194630492666919
ENSG00000138180	 CEP55	 centrosomal protein 55	-3.52954869293416	1.30252201388267e-07	-2.38895069022642	0.00135576840839311	-2.75131824321439	6.00811467715274e-05
ENSG00000091651	 ORC6	 origin recognition complex subunit 6	-3.08952051727004	1.76919699472932e-07	-1.97853763897599	0.00583682588366993	-2.47127995464133	7.19321799407184e-05
ENSG00000171241	 SHCBP1	 SHC binding and spindle associated 1	-3.84919738225551	2.82972364324405e-06	-2.50429215404453	0.00893265459508017	-2.99895704957244	0.00038039777849611
ENSG00000178999	 AURKB	 aurora kinase B	-4.57065555522361	1.28250064225194e-07	-3.35120452963959	0.000271781025868992	-3.74053104337641	1.50955687011568e-05
ENSG00000255201	 RP11-350N15.4		-3.62146894099096	5.23396965554118e-05	-2.55715657238144	0.0223213162197437	-3.03945506046939	0.0018296149792808
ENSG00000239951	 IGKV3-20		3.50713848719553	0.000137254368395633	3.00768099798008	0.00385576354567718	2.97822541326582	0.00329310979685213
ENSG00000121211	 MND1	 meiotic nuclear divisions 1	-3.61959216037386	8.66722662325718e-05	-2.90662091961897	0.0048365159765623	-3.30616969089541	0.000425715936513934
ENSG00000012048	 BRCA1	 BRCA1, DNA repair associated	-2.29409366268108	2.638028741191e-08	-1.5499502036992	0.00149738208277542	-1.92940542115743	1.07055617296347e-05
ENSG00000260052	 CTC-527H23.3		-6.0265037607749	0.0164556545435963	-6.69595708868976	0.0076155629105615	-6.96583474662318	0.00284134515877588
ENSG00000078900	 TP73	 tumor protein p73	-2.56885487697757	7.1149990918047e-05	-1.94239766065343	0.0166204600211287	-2.5430540287632	0.000116864180799018
ENSG00000149485	 FADS1	 fatty acid desaturase 1	-2.25363801496054	3.03790660634701e-09	-1.73880670480337	5.34778054784954e-05	-1.47393803216014	0.000461849220994278
ENSG00000165480	 SKA3	 spindle and kinetochore associated complex subunit 3	-3.66366962674283	4.2911271633751e-10	-2.58736670359158	5.3756514900176e-05	-3.11854486130704	2.0435070879816e-07
ENSG00000102265	 TIMP1	 TIMP metallopeptidase inhibitor 1	3.57618900937387	0.00169329497291967	3.76534301185362	0.00132797527220072	3.15236376176408	0.00663081273905705
ENSG00000186185	 KIF18B	 kinesin family member 18B	-3.79082186857234	9.31910596628031e-07	-2.8112553766023	0.00101620146948481	-3.18713954210941	6.00811467715274e-05
ENSG00000112118	 MCM3	 minichromosome maintenance complex component 3	-1.35060575023097	3.58296491184011e-05	-1.01346567472785	0.0144040297491991	-1.03600722022054	0.00700356073826554
ENSG00000156970	 BUB1B	 BUB1 mitotic checkpoint serine/threonine kinase B	-4.00291570735863	2.37000375843954e-08	-2.86743590561331	0.000215026289268351	-3.29946098767202	5.06050301181364e-06
ENSG00000258725	 PRC1-AS1	 PRC1 antisense RNA 1	-2.46478430628732	1.25228857948138e-06	-1.73319495934459	0.00493690646550013	-1.89489191350217	0.000695028936115204
ENSG00000162073	 PAQR4	 progestin and adipoQ receptor family member 4	-1.79909490296691	0.000162460987758364	-1.38561081424905	0.0181755723770933	-1.34596735574481	0.0216008353365371
ENSG00000228414	 LINC01185	 long intergenic non-protein coding RNA 1185	-6.17804693603846	0.0457317746921275	-6.91678880516834	0.034755904661923	-6.79415102875005	0.0320206240877235
ENSG00000139318	 DUSP6	 dual specificity phosphatase 6	-3.51256151275576	6.48903443250126e-10	-3.33004657807471	9.14063492450279e-08	-2.5508498915542	1.93313041185429e-05
ENSG00000134291	 TMEM106C	 transmembrane protein 106C	-1.63400820966067	1.76737104496823e-05	-1.09499274457233	0.0359892158157746	-1.22285138547915	0.00593293800656495
ENSG00000255330	 SOGA3	 SOGA family member 3	-3.53882978724569	1.42058376514879e-06	-2.96974623220397	0.00041368963574038	-2.67943554920325	0.000994752048221562
ENSG00000100365	 NCF4	 neutrophil cytosolic factor 4	-1.65450963730458	3.57676878762078e-05	-1.42799497921311	0.00184522889862035	-1.50910062707557	0.000417377689236344
ENSG00000100526	 CDKN3	 cyclin dependent kinase inhibitor 3	-3.7624675582773	6.4680146504764e-06	-2.49130181725602	0.00970101740180037	-2.89161599989329	0.000772562875692904
ENSG00000176208	 ATAD5	 ATPase family, AAA domain containing 5	-1.78132840074486	1.82245834020514e-07	-1.33757159252013	0.000919092034166748	-1.40205017638335	0.000170100196667967
ENSG00000248898	 CTD-2288O8.1		-1.82054713284313	0.013760033715254	-1.72480840317788	0.0488265699618344	-2.15210586957254	0.00257639592598847
ENSG00000114737	 CISH	 cytokine inducible SH2 containing protein	-2.80142200713204	0.00140707800768314	-2.90020483033064	0.00335788914805228	-3.16037365792726	0.000187552207273441
ENSG00000163823	 CCR1	 C-C motif chemokine receptor 1	-2.49401346137379	8.82158725694505e-06	-2.10336414783068	0.000990264879214999	-1.76424193331085	0.0100487226120647
ENSG00000090889	 KIF4A	 kinesin family member 4A	-3.58592819942162	0.000155417493100342	-2.45046513850484	0.0358092186403146	-2.72558241373786	0.00696851010428861
ENSG00000138346	 DNA2	 DNA replication helicase/nuclease 2	-2.19392648328388	4.83841753317835e-07	-1.32276386001709	0.0227817571928593	-1.60386720512201	0.000961115597413416
ENSG00000160949	 TONSL	 tonsoku-like, DNA repair protein	-1.49565972712351	5.65077117619251e-05	-1.04958663756343	0.0387177561220192	-1.20780461425466	0.00447118420481477
ENSG00000119969	 HELLS	 helicase, lymphoid-specific	-2.76810706511965	2.37000375843954e-08	-1.84325400048691	0.00125276130861332	-2.25737517754297	1.51807783072147e-05
ENSG00000101057	 MYBL2	 MYB proto-oncogene like 2	-2.84869776952152	5.66620017678135e-06	-2.08344932970182	0.00414687060270494	-2.63519072250337	3.97128970703973e-05
ENSG00000160957	 RECQL4	 RecQ like helicase 4	-2.22641371508213	1.39847776751093e-06	-1.72073631863094	0.00157881413269148	-1.8320092046683	0.000237057436594481
ENSG00000278677	 HIST1H2AM	 histone cluster 1 H2A family member m	-1.99990073283641	2.44624027251925e-06	-1.39468398086572	0.00878807338906537	-1.60849116953555	0.000518634555347963
ENSG00000107968	 MAP3K8	 mitogen-activated protein kinase kinase kinase 8	-1.4514926880435	4.19848263440742e-05	-1.03759001588853	0.0284544382543362	-1.28143546443219	0.000921508577097817
ENSG00000207836			3.85413340740085	0.0251840924597242	4.79221036949236	0.00893265459508017	5.43703686553643	0.000946967789673444
ENSG00000237011	 RP11-98G13.1		-4.95396360818261	0.00209833976414687	-4.5237330914022	0.0133342743274526	-4.91840198577292	0.00294688226461518
ENSG00000101187	 SLCO4A1	 solute carrier organic anion transporter family member 4A1	-2.02790047363017	1.54919175302377e-05	-1.60753792825176	0.00388770669590911	-1.55347967522019	0.00399176282835749
ENSG00000257954	 RP11-161H23.10		-6.8906051478733	0.00487443309251986	-6.48074287316508	0.0207691455337896	-6.13795095126226	0.0291175386507681
ENSG00000099985	 OSM	 oncostatin M	-3.10754325977738	7.86049481616777e-05	-2.76876247022492	0.00123813406030584	-2.68958621593397	0.00127385434495097
ENSG00000165304	 MELK	 maternal embryonic leucine zipper kinase	-3.35387861665279	1.15984097917663e-08	-2.3060135087611	0.000467542196261403	-2.57674280810754	2.58722915817746e-05
ENSG00000156234	 CXCL13	 C-X-C motif chemokine ligand 13	9.62896316661221	0.00011408713474055	9.82859617217127	0.000231982816229944	5.28733998642377	0.044394647838928
ENSG00000232335	 RP11-435D7.3		-3.2458347972083	9.44276068800546e-06	-2.50987944629888	0.0023375824226133	-2.44349502762736	0.00254664075189558
ENSG00000180611	 MB21D2	 Mab-21 domain containing 2	-2.63304011999309	0.000109307291153308	-2.57610543574664	0.00038188496037263	-2.72020084327022	8.13583134231397e-05
ENSG00000122952	 ZWINT	 ZW10 interacting kinetochore protein	-3.53433091737119	1.29222333835936e-08	-2.42854146514005	0.000390023918215452	-2.75100644679914	1.7762588569783e-05
ENSG00000137812	 KNL1	 kinetochore scaffold 1	-2.9425886925888	6.810122907266e-09	-2.06940854617509	0.000279011579852347	-2.41794361611743	4.89747795930286e-06
ENSG00000211597	 IGKJ1		2.50423404544104	0.0342934260856335	2.60089278542844	0.0345547821853055	3.35052520538134	0.00146559445081833
ENSG00000175305	 CCNE2	 cyclin E2	-1.77831075267087	7.75630604612736e-06	-1.26751182040871	0.0129874970198445	-1.38811927201688	0.00220728855803311
ENSG00000224650	 IGHV3-74		4.51719033752922	0.00371569615640123	4.79475788690854	0.00608446700241418	3.65932907189937	0.0374187530290243
ENSG00000072571	 HMMR	 hyaluronan mediated motility receptor	-3.36587739912093	8.76836581927755e-07	-2.29019547279126	0.00359339770339361	-2.60748457241693	0.000249277838980692
ENSG00000243466	 IGKV1-5		3.19058846426506	0.00158062403343612	2.90705082625089	0.0102742420876196	2.73807036400639	0.01569700681023
