sampleID	totalReadPairs	totalReadPairs (%)	totalReadPairsPostTrim	totalReadPairsPostTrim (%)	mappedReadPairs	mappedPairReads (%)	forwardReads	forwardReads (% of mapped)	reverseReads	reverseReads (% of mapped)	duplicateReadPairs	duplicateReadPairs (% of mapped)	onTargetReadPairs	onTargetReadPairs (% of mapped)
MERNA1_S10	65783195	100	61627656	93.682977848674	122156528	99.1085	62177023	50.4457	61078289	49.5543	99384814	80.6333	59353512.5	48.5880807778034
MERNA2_S12	69034308	100	65618007	95.0512997102832	130063985	99.1069	66204871	50.4472	65031143	49.5528	111800485	85.1904	49771179.5	38.2666881227728
MERNA3_S14	68838410	100	65871816	95.6904960471923	130634575	99.1582	66426161	50.4208	65317471	49.5792	118400376	89.8718	63693545.5	48.7570350345611
MERNA4_S11	69840262	100	65324057	93.5335222539686	129307120	98.9736	65994597	50.5132	64653517	49.4868	122748757	93.9537	62345933	48.2153906142214
MERNA6_S6	71384294	100	62663490	87.7833014640447	122719334	97.9193	63966385	51.0396	61360595	48.9604	69519801	55.4707	59851659	48.7711732529448
MERNA7_S5	59923633	100	57611692	96.1418544166039	114186983	99.1005	58129769	50.4496	57093615	49.5504	57577977	49.9707	55783898	48.8531148948913
MERNA8_S3	66911311	100	63980389	95.6196912656516	125610080	98.163	65155856	50.9186	62804922	49.0814	89049283	69.5911	61318699	48.8167024493576
MERNA9_S9	63601186	100	61213177	96.2453388840894	121464343	99.2142	61694085	50.3928	60732269	49.6072	75740874	61.8665	59227109.5	48.7609022015622
MERNA10_S8	69110180	100	60333431	87.300352856844	118324242	98.0586	61504651	50.9706	59162211	49.0294	74459497	61.7067	57023781.5	48.1928136923962
MERNA11_S1	65368089	100	61027112	93.3591801957068	120686674	98.8796	61710667	50.56	60343557	49.44	69183508	56.6826	58811967.5	48.7311196429193
MERNA12_S4	69858074	100	66659272	95.4209988669313	131898774	98.9351	67368638	50.5321	65949906	49.4679	67613623	50.7158	63785416.5	48.3593702698101
MERNA13_S13	60106314	100	56003288	93.1737188209545	110207021	98.3933	56903135	50.8034	55103441	49.1966	100118346	89.3861	52504284.5	47.6415059799139
MERNA14_S7	58749245	100	55974985	95.2777946337864	110911481	99.0724	56494018	50.4636	55455952	49.5364	70746725	63.195	53799810.5	48.5069805352252
MERNA15_S2	64683377	100	61988185	95.8332540368138	122971029	99.1891	62490723	50.4054	61485647	49.5947	79364588	64.0159	60063914	48.8439549448675
