ensGeneID	geneName	geneName	il21_vs_il2 logFC	il21_vs_il2 qval	il21_vs_il15 logFC	il21_vs_il15 qval	il21_vs_il7 logFC	il21_vs_il7 qval
ENSG00000131401	 NAPSB	 napsin B aspartic peptidase, pseudogene	3.09006947590672	0.00140668038465338	3.30578652372963	0.00267950847317627	2.86945022793865	0.00708687327332752
ENSG00000240280	 TCAM1P	 testicular cell adhesion molecule 1, pseudogene	-7.58713611908473	0.000282119700702236	-7.71455798782866	0.000856150716499328	-8.44246600746134	0.000104500087232625
ENSG00000163359	 COL6A3	 collagen type VI alpha 3 chain	5.98685937766481	0.000236782591570824	6.56265775921431	0.000152054352953678	5.76593119373153	0.000767164867491486
ENSG00000275379	 HIST1H3I	 histone cluster 1 H3 family member i	-1.94175266319192	3.56746797466477e-05	-1.51142158244729	0.00783460698372715	-1.57707701728362	0.00245806760416364
ENSG00000240671	 IGKV1-8		3.40448628831394	0.000228542956087784	2.83668497961737	0.00898783053030042	2.81079739264205	0.00556978350347773
ENSG00000246985	 SOCS2-AS1	 SOCS2 antisense RNA 1	-7.6013449031158	9.15985504853979e-05	-7.92639996882305	0.000105612803560431	-7.04259572165128	0.00043892378341946
ENSG00000065989	 PDE4A	 phosphodiesterase 4A	-2.46288865764636	4.96653539016801e-06	-2.31249994883263	4.27608390962255e-05	-2.70396902473829	1.78305639943504e-07
ENSG00000138160	 KIF11	 kinesin family member 11	-3.42922367029907	9.15985504853979e-05	-2.77984961949211	0.00675322338713796	-3.17245476726633	0.000517696594884138
ENSG00000254709	 IGLL5	 immunoglobulin lambda like polypeptide 5	3.57632712991915	0.00162837385548848	3.46895176140807	0.00898783053030042	3.31242349255066	0.00779758103380399
ENSG00000177602	 GSG2	 germ cell associated 2, haspin	-2.76497506839602	3.56746797466477e-05	-2.18306503003837	0.00591619177711195	-2.30536525163544	0.00160796399473371
ENSG00000180611	 MB21D2	 Mab-21 domain containing 2	-2.3444789426977	0.00928605063976423	-2.5695482908746	0.00997529607297607	-2.53398876423979	0.00716129159211753
ENSG00000127588	 GNG13	 G protein subunit gamma 13	-5.45796284159983	0.000282119700702236	-4.71226204254899	0.00898783053030042	-4.75084068120367	0.00495242080984227
