ensGeneID	geneName	geneName	il21_vs_il2 logFC	il21_vs_il2 qval	il21_vs_il15 logFC	il21_vs_il15 qval	il21_vs_il7 logFC	il21_vs_il7 qval
ENSG00000066279	 ASPM	 abnormal spindle microtubule assembly	-4.00159087764676	5.77549593040238e-05	-3.25532817511993	0.00450400210892291	-3.61288126222661	0.000736884022156317
ENSG00000139318	 DUSP6	 dual specificity phosphatase 6	-3.23790360358118	4.2996704198045e-05	-3.37555772530665	0.000180926551923491	-2.45960906420853	0.00629618611483397
ENSG00000137804	 NUSAP1	 nucleolar and spindle associated protein 1	-2.9041845647204	6.84506027799252e-05	-2.41230403401348	0.00450400210892291	-2.51904846252783	0.00162313345086414
ENSG00000211669	 IGLV3-10		4.75551214462907	7.14048917649378e-06	3.59448627541591	0.000924418663997816	3.64225796946002	0.0015494193682448
ENSG00000148773	 MKI67	 marker of proliferation Ki-67	-3.76624748404733	0.000102577033108141	-3.19376490440135	0.00436827579990465	-3.57012724343545	0.000736884022156317
ENSG00000211934	 IGHV1-2		3.59890480615576	0.00203705770503364	3.94551887410374	0.0029177732326111	4.40445114549908	0.001076593236619
ENSG00000211660	 IGLV2-23		4.7403535564214	5.79688986141341e-06	2.99564183812998	0.00914104322442959	3.88792437235355	0.000968594436970887
ENSG00000068489	 PRR11	 proline rich 11	-3.38406422532105	6.89252140698149e-05	-2.6375677091148	0.00918628912378064	-2.99045577284033	0.00131018811982377
ENSG00000134690	 CDCA8	 cell division cycle associated 8	-2.78569786207833	4.2996704198045e-05	-2.1563818052061	0.00762117250778321	-2.40524853895638	0.00126222053562209
ENSG00000211592	 IGKC		3.29979333111712	0.000130236689467781	2.73766725834871	0.00649060679555087	2.670844636012	0.00670921204417391
ENSG00000198826	 ARHGAP11A	 Rho GTPase activating protein 11A	-3.40778112106958	4.26176118358162e-06	-2.93566620866979	0.000223593198944704	-2.90725267495356	0.000116432995980592
ENSG00000060982	 BCAT1	 branched chain amino acid transaminase 1	3.51183426697488	0.00148086411933445	4.17226925237658	0.000924418663997816	3.2351662146602	0.00908382618500579
ENSG00000203760	 CENPW	 centromere protein W	-3.75132857394793	0.000133236483239998	-3.05321132390579	0.009863010563439	-3.3062294098678	0.003010465724057
ENSG00000111206	 FOXM1	 forkhead box M1	-2.69301471659834	0.000128802292646165	-2.23051501270633	0.00720309389913414	-2.30902852670701	0.00358373011432414
ENSG00000157456	 CCNB2	 cyclin B2	-4.2173835058328	5.79688986141341e-06	-3.35832094545006	0.00135871989383908	-3.61309032972685	0.000234071430762108
ENSG00000211638	 IGLV8-61		3.98205183113866	0.000444951159246351	3.80780323320699	0.00295327053716544	7.37175230376786	8.66697690101401e-05
ENSG00000072110	 ACTN1	 actinin alpha 1	-2.62939410863702	9.94205541000713e-06	-2.09468790303368	0.00240296604763257	-2.41624972585683	0.000151618831983945
ENSG00000117632	 STMN1	 stathmin 1	-2.34895806657875	5.77549593040238e-05	-1.95551110358128	0.00436827579990465	-2.14616194860058	0.000736884022156317
ENSG00000138778	 CENPE	 centromere protein E	-3.41025770354464	2.96484762845956e-05	-2.55772594618532	0.00748797948950266	-2.93831576691321	0.000843011766499062
ENSG00000164400	 CSF2	 colony stimulating factor 2	-3.97090748869386	0.000133236483239998	-3.74383053131633	0.00182436084901746	-3.74000134952603	0.000884014376093299
ENSG00000075218	 GTSE1	 G2 and S-phase expressed 1	-3.40377891868787	0.000227811510821597	-2.89849884826083	0.008025630830669	-3.04352467688234	0.00349240200941097
ENSG00000211675	 IGLC1		3.85702849381254	0.000172881401439527	3.22387803239394	0.00649060679555087	3.07609965660669	0.0093793875626032
ENSG00000126787	 DLGAP5	 DLG associated protein 5	-3.84316940402658	2.38089736117063e-05	-3.13526769564352	0.00240296604763257	-3.3986984803526	0.000523376271587705
ENSG00000186185	 KIF18B	 kinesin family member 18B	-3.31258032179338	0.000283429519612029	-2.81498125044092	0.00960530551397693	-2.92528020358012	0.00476982734357465
